Model,Category,Train R²,Val R²,Test R²,Overfit Gap,Test RMSE,Test MAE,Test MAPE,Train Time,Complexity
Wide&Deep,Deep Learning (Hybrid),0.9999595238029844,0.9999890241469565,0.9998014226079582,0.00015810119502612796,0.40551227042938814,0.04877995062605389,16.459586589342965,466.9369766712189,O(n·w+n·Σwᵢ)
Ensemble,Meta-Learner,0.9999796214390799,0.9999923977441271,0.9996350909509133,0.0003445304881666278,0.5497071873533789,0.049912626171416244,9.859143931092298,0.0,O(k·n)
XGBoost,Gradient Boosting,0.9999902893146659,0.9999776631697562,0.9989923121800459,0.0009979771346200206,0.9134864365942922,0.08286645352310189,5.815089208694237,160.09000420570374,O(n·m·d·t)
DeepNet,Deep Learning (MLP),0.9987298789225166,0.9988428935026777,0.998123751175546,0.0006061277469706638,1.2464771320386423,0.5861358485889199,72.08929039267484,432.8171389102936,O(n·Σwᵢ)
LSTM,Deep Learning (RNN),0.999464581552097,0.9999183286008194,0.9976414716641612,0.001823109887935881,1.3975252004015646,0.19082873667717518,56.27928532841153,335.596244096756,O(n·s·h²)
LightGBM,Gradient Boosting,0.9998552847042236,0.9998468540562063,0.9942642631284039,0.005591021575819699,2.179383751214793,0.24359439142449532,29.601607275353466,300.94210505485535,O(n·m·d·t)
CatBoost,Gradient Boosting,0.9995793901496947,0.9995026216328622,0.9909550088321285,0.008624381317566154,2.736800700273135,0.46502446248622575,68.42757574252731,119.58170080184937,O(n·m·d·t)
