date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,0.03,24.99,82.69,4.07,100.44
2010-01-02,0.04,25.39,83.93,4.76,100.57
2010-01-03,0.16,24.87,84.49,4.57,100.62
2010-01-04,0.02,24.09,81.22,3.78,100.53
2010-01-05,0.0,23.18,80.46,3.14,100.4
2010-01-06,0.0,23.75,80.8,3.95,100.38
2010-01-07,0.18,24.96,80.67,3.95,100.39
2010-01-08,6.45,25.66,89.05,3.69,100.34
2010-01-09,16.61,25.89,90.46,4.39,100.29
2010-01-10,3.67,25.98,83.15,2.01,100.52
2010-01-11,4.18,26.29,82.77,1.21,100.66
2010-01-12,4.36,26.24,83.86,2.04,100.69
2010-01-13,9.56,26.15,86.38,2.98,100.71
2010-01-14,0.27,25.9,85.29,3.68,100.76
2010-01-15,0.02,25.2,82.27,4.15,100.83
2010-01-16,2.64,25.68,85.7,4.75,100.86
2010-01-17,0.38,25.64,83.18,5.06,100.9
2010-01-18,0.03,25.3,83.93,4.36,100.85
2010-01-19,0.01,25.16,82.54,4.37,100.7
2010-01-20,0.0,24.82,82.08,4.4,100.75
2010-01-21,0.0,24.37,81.27,4.64,100.7
2010-01-22,0.0,23.63,79.44,4.07,100.7
2010-01-23,0.0,23.68,78.8,4.03,100.69
2010-01-24,0.01,24.07,79.65,3.43,100.61
2010-01-25,0.0,24.38,80.74,3.22,100.6
2010-01-26,0.0,24.98,83.6,3.92,100.63
2010-01-27,0.47,25.77,85.16,4.72,100.57
2010-01-28,0.06,25.71,83.21,5.21,100.61
2010-01-29,0.08,25.5,80.73,5.06,100.66
2010-01-30,0.06,25.73,81.97,5.15,100.65
2010-01-31,0.14,25.65,81.14,4.62,100.68
2010-02-01,0.75,25.73,81.77,4.3,100.64
2010-02-02,0.27,25.54,80.78,4.7,100.54
2010-02-03,0.0,25.18,79.73,4.49,100.55
2010-02-04,0.0,25.03,79.48,4.04,100.61
2010-02-05,0.0,25.32,79.04,4.42,100.66
2010-02-06,0.0,25.16,77.99,5.15,100.66
2010-02-07,0.0,24.93,76.88,4.96,100.67
2010-02-08,0.0,24.64,75.45,4.36,100.54
2010-02-09,0.0,24.66,79.6,3.62,100.47
2010-02-10,0.13,26.0,80.83,3.27,100.45
2010-02-11,0.13,26.58,79.7,3.84,100.56
2010-02-12,0.0,26.24,80.19,4.02,100.58
2010-02-13,0.03,26.71,79.27,3.73,100.45
2010-02-14,0.0,26.2,77.8,3.5,100.38
2010-02-15,0.0,25.89,76.65,3.7,100.38
2010-02-16,5.91,26.15,81.2,3.93,100.46
2010-02-17,1.78,26.91,81.8,3.88,100.5
2010-02-18,0.0,26.74,77.35,2.9,100.61
2010-02-19,0.0,26.76,75.56,2.91,100.64
2010-02-20,0.0,26.82,77.43,2.98,100.63
2010-02-21,0.0,27.07,75.62,3.83,100.61
2010-02-22,0.0,27.33,76.08,4.17,100.56
2010-02-23,0.0,27.1,73.29,2.8,100.52
