date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,5.69,27.74,81.41,6.39,100.93
2010-01-02,2.16,27.9,76.95,6.68,101.06
2010-01-03,19.12,27.51,78.44,6.85,101.08
2010-01-04,13.52,26.77,82.31,6.13,100.97
2010-01-05,18.08,27.1,80.92,4.94,100.85
2010-01-06,11.21,27.8,80.25,3.28,100.79
2010-01-07,0.11,28.04,78.99,4.3,100.9
2010-01-08,2.05,27.28,83.45,4.02,101.06
2010-01-09,0.77,27.52,81.52,3.13,101.08
2010-01-10,1.23,27.09,82.55,1.89,101.16
2010-01-11,0.56,26.95,82.42,2.79,101.29
2010-01-12,0.08,27.01,82.58,4.11,101.31
2010-01-13,0.01,26.9,81.51,4.72,101.41
2010-01-14,0.05,27.3,79.65,5.21,101.41
2010-01-15,0.53,27.84,80.72,5.92,101.38
2010-01-16,0.4,27.95,79.58,7.12,101.44
2010-01-17,0.17,27.96,77.3,6.79,101.45
2010-01-18,0.26,27.79,77.41,6.05,101.41
2010-01-19,0.04,27.66,76.89,5.83,101.28
2010-01-20,0.04,27.03,80.02,5.23,101.29
2010-01-21,0.02,26.58,82.97,5.27,101.28
2010-01-22,0.0,26.57,82.91,5.12,101.24
2010-01-23,0.0,26.44,83.09,4.7,101.25
2010-01-24,0.0,26.72,80.87,3.64,101.18
2010-01-25,0.0,27.48,82.05,5.07,101.15
2010-01-26,2.44,27.66,82.46,5.32,101.19
2010-01-27,2.33,27.54,83.66,6.26,101.18
2010-01-28,5.18,27.77,82.93,6.74,101.19
2010-01-29,5.25,28.13,80.64,6.27,101.19
2010-01-30,7.75,27.6,84.91,5.19,101.21
2010-01-31,1.26,27.66,83.9,5.59,101.23
2010-02-01,0.32,27.93,80.47,5.89,101.18
2010-02-02,0.79,27.95,80.09,6.26,101.12
2010-02-03,1.75,27.9,81.23,6.02,101.1
2010-02-04,2.98,27.81,81.67,5.92,101.12
2010-02-05,6.47,27.91,80.74,6.26,101.2
2010-02-06,2.41,27.8,77.11,6.77,101.22
2010-02-07,2.7,27.72,77.75,6.27,101.21
2010-02-08,4.01,27.62,80.07,5.76,101.08
2010-02-09,3.28,27.94,78.33,5.1,101.06
2010-02-10,2.97,28.07,80.05,4.71,101.02
2010-02-11,6.38,28.27,78.57,5.51,101.15
2010-02-12,16.43,28.24,81.3,6.22,101.15
2010-02-13,0.82,28.23,75.2,5.47,101.04
2010-02-14,2.16,28.18,73.34,4.48,101.04
2010-02-15,1.92,28.26,80.39,5.6,101.02
2010-02-16,0.4,28.79,76.86,6.02,101.06
2010-02-17,0.19,28.35,74.48,5.37,101.14
2010-02-18,0.56,28.35,75.02,4.22,101.21
2010-02-19,0.29,28.4,76.71,5.01,101.29
2010-02-20,0.23,27.9,81.12,4.81,101.27
2010-02-21,0.83,27.72,82.24,4.43,101.3
2010-02-22,0.09,28.15,73.91,5.74,101.25
2010-02-23,0.0,27.66,68.42,3.85,101.14
2010-02-24,0.0,26.88,67.57,2.06,101.1
2010-02-25,0.0,27.1,71.5,2.99,101.12
2010-02-26,0.0,27.33,75.49,4.31,101.13
2010-02-27,0.0,27.91,72.5,4.79,101.1
2010-02-28,0.0,27.77,73.81,4.02,101.15
2010-03-01,0.0,27.53,72.51,4.35,101.24
2010-03-02,0.01,27.31,76.26,4.78,101.17
2010-03-03,0.0,26.87,76.44,3.14,101.09
2010-03-04,1.82,26.67,74.12,1.42,101.13
2010-03-05,4.42,27.19,73.22,2.39,101.18
2010-03-06,0.03,26.92,72.53,1.13,101.28
2010-03-07,0.08,27.19,76.7,2.76,101.25
2010-03-08,0.04,27.17,77.46,2.2,101.22
2010-03-09,0.26,27.4,73.34,2.34,101.33
2010-03-10,0.41,27.73,75.61,3.71,101.32
2010-03-11,1.26,28.23,79.23,5.29,101.37
2010-03-12,4.76,28.54,82.74,5.28,101.38
2010-03-13,0.26,28.42,81.35,4.92,101.25
2010-03-14,0.03,28.31,77.91,4.19,101.13
2010-03-15,0.0,28.18,73.12,3.47,101.11
2010-03-16,0.02,28.32,73.9,3.75,101.12
2010-03-17,0.09,28.75,74.66,4.7,101.16
2010-03-18,1.14,28.96,80.06,6.2,101.2
2010-03-19,0.76,29.32,76.42,5.35,101.08
2010-03-20,1.03,28.45,82.2,3.81,101.03
2010-03-21,0.04,28.6,77.4,3.44,100.92
2010-03-22,0.03,27.96,79.34,2.38,100.81
2010-03-23,0.23,27.77,81.33,2.81,100.76
2010-03-24,3.45,28.4,81.13,2.94,100.83
2010-03-25,3.52,28.75,81.87,3.12,100.89
2010-03-26,3.97,28.73,84.53,4.09,100.89
2010-03-27,3.33,28.3,82.23,2.18,101.03
2010-03-28,1.29,27.6,80.7,1.04,101.13
2010-03-29,0.77,28.46,76.11,1.3,101.11
2010-03-30,1.56,28.48,75.44,1.47,101.14
2010-03-31,1.77,28.93,73.03,1.81,101.11
2010-04-01,0.19,28.88,71.61,1.37,101.07
2010-04-02,0.34,29.23,68.82,1.04,101.03
2010-04-03,2.15,29.07,73.78,1.93,101.0
2010-04-04,5.93,28.8,77.35,1.98,101.05
2010-04-05,6.05,28.67,80.46,2.02,100.95
2010-04-06,2.18,29.18,78.07,2.18,100.93
2010-04-07,0.98,29.5,81.81,3.86,101.01
2010-04-08,0.42,29.84,79.76,3.91,101.1
2010-04-09,0.85,29.26,81.21,2.99,101.03
2010-04-10,0.23,28.94,78.19,1.76,100.86
2010-04-11,0.01,29.16,77.49,2.24,100.88
2010-04-12,0.1,29.18,73.82,1.02,100.91
2010-04-13,0.12,29.46,73.39,1.66,100.91
2010-04-14,0.21,29.54,76.7,2.68,100.94
2010-04-15,0.42,29.91,77.22,3.53,100.99
2010-04-16,0.14,30.04,72.81,2.7,101.03
2010-04-17,0.01,29.66,71.95,2.1,101.1
2010-04-18,0.02,29.3,75.66,1.8,101.07
2010-04-19,0.03,28.94,79.38,2.08,100.99
2010-04-20,0.02,29.13,79.56,2.03,100.87
2010-04-21,0.1,29.48,76.04,2.43,100.9
