date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2000-01-01,0.0,16.48,18.59,0.74,99.23
2000-01-02,0.0,17.42,16.48,0.79,99.22
2000-01-03,0.0,14.95,18.64,1.39,99.07
2000-01-04,0.0,14.46,19.74,1.51,99.06
2000-01-05,0.0,14.6,19.97,1.6,99.17
2000-01-06,0.0,13.82,21.28,2.04,99.12
2000-01-07,0.0,14.84,17.69,1.55,99.08
2000-01-08,0.0,16.36,14.91,1.25,98.94
2000-01-09,1.19,16.26,25.58,2.39,98.82
2000-01-10,0.01,16.5,46.53,1.35,98.85
2000-01-11,0.0,17.71,33.68,1.87,98.91
2000-01-12,3.82,16.59,41.75,2.91,98.68
2000-01-13,7.52,15.32,61.29,1.43,98.71
2000-01-14,0.04,11.81,34.89,1.66,98.85
2000-01-15,0.0,10.17,31.86,1.88,99.1
2000-01-16,0.0,9.89,38.72,2.4,99.46
2000-01-17,0.0,9.87,35.55,2.62,99.48
2000-01-18,0.0,14.15,28.34,3.38,99.32
2000-01-19,0.0,15.18,33.4,3.52,99.0
2000-01-20,0.0,14.98,32.35,3.27,98.61
2000-01-21,0.0,16.64,35.01,1.4,98.82
2000-01-22,0.72,16.02,35.71,1.75,98.98
2000-01-23,0.39,15.54,46.01,1.32,99.08
2000-01-24,0.0,16.35,42.2,1.45,99.25
2000-01-25,1.71,17.22,38.41,2.23,99.22
2000-01-26,1.16,16.75,40.89,2.49,99.25
2000-01-27,0.0,14.84,47.1,2.11,99.35
2000-01-28,0.0,14.01,46.78,3.38,99.36
2000-01-29,0.0,13.85,36.42,3.37,99.2
2000-01-30,0.0,15.73,28.8,2.04,99.18
2000-01-31,0.0,15.31,29.39,2.94,98.93
2000-02-01,0.0,14.87,28.79,2.34,98.58
2000-02-02,0.0,14.43,35.15,1.32,98.96
2000-02-03,0.0,16.41,39.11,1.41,99.19
2000-02-04,1.89,16.49,33.32,2.26,98.74
2000-02-05,13.47,13.19,70.97,1.06,98.74
2000-02-06,0.0,13.6,62.08,1.11,99.02
2000-02-07,0.0,14.55,53.23,1.12,99.02
2000-02-08,0.02,14.11,50.58,1.4,98.97
2000-02-09,0.0,14.33,46.05,1.55,99.04
2000-02-10,7.01,17.58,37.75,1.59,98.74
2000-02-11,10.37,13.83,66.4,1.68,98.71
2000-02-12,0.0,13.17,53.77,1.75,99.05
2000-02-13,0.17,11.54,46.02,2.22,99.21
2000-02-14,0.0,12.57,47.78,1.95,99.28
2000-02-15,0.0,15.01,39.72,1.54,99.13
2000-02-16,0.0,15.89,33.24,1.33,98.88
2000-02-17,0.0,15.55,30.0,1.3,98.68
2000-02-18,0.0,14.02,33.73,1.57,98.86
2000-02-19,0.0,14.49,32.92,1.57,98.92
2000-02-20,0.0,16.59,30.82,1.04,98.79
2000-02-21,0.0,16.74,34.72,1.36,98.97
2000-02-22,0.0,16.16,34.2,1.95,99.16
2000-02-23,0.0,15.02,30.83,2.42,99.22
2000-02-24,0.0,14.04,33.78,2.62,99.19
2000-02-25,0.0,14.4,31.43,2.41,98.95
2000-02-26,0.0,15.59,28.59,1.77,98.79
2000-02-27,0.0,16.81,27.23,2.27,98.8
2000-02-28,0.0,19.27,26.59,2.54,98.9
2000-02-29,0.0,21.13,30.3,2.57,98.72
2000-03-01,0.09,22.38,36.46,1.11,98.47
2000-03-02,0.0,22.02,34.9,1.46,98.45
2000-03-03,0.0,21.23,29.22,1.15,98.51
2000-03-04,0.0,21.16,29.27,2.41,98.34
2000-03-05,0.64,18.49,28.71,2.26,98.64
2000-03-06,0.0,17.55,27.8,1.75,98.59
2000-03-07,0.0,18.75,23.84,1.65,98.73
2000-03-08,0.0,18.66,20.99,3.12,98.79
2000-03-09,0.0,18.42,20.8,3.92,98.51
2000-03-10,0.0,20.7,16.22,2.19,98.36
2000-03-11,0.0,22.22,20.1,1.59,98.11
2000-03-12,0.0,23.09,16.88,1.69,97.98
2000-03-13,5.34,21.88,26.85,1.63,98.18
2000-03-14,3.75,19.82,34.01,1.54,98.72
2000-03-15,0.0,19.3,25.03,3.16,98.64
2000-03-16,0.0,21.42,23.7,2.25,98.43
2000-03-17,0.0,24.16,22.53,1.27,98.19
2000-03-18,0.0,20.69,18.72,1.65,98.45
2000-03-19,0.0,19.95,17.08,2.5,98.71
2000-03-20,0.0,20.75,16.75,2.43,98.65
2000-03-21,0.25,23.39,15.84,2.06,98.5
2000-03-22,1.92,22.84,26.84,1.63,98.44
2000-03-23,0.67,21.59,31.32,1.17,98.81
2000-03-24,0.1,20.68,36.7,1.66,99.16
2000-03-25,0.0,21.58,24.45,2.19,98.99
2000-03-26,0.0,24.27,17.72,1.24,98.94
2000-03-27,0.0,25.3,15.02,1.57,98.87
2000-03-28,0.0,25.97,12.46,1.71,98.79
2000-03-29,0.0,28.59,11.18,1.14,98.7
2000-03-30,0.0,29.24,14.73,1.65,98.53
2000-03-31,0.0,30.34,15.05,1.83,98.27
2000-04-01,0.0,29.62,13.69,3.28,98.3
2000-04-02,0.0,27.43,12.1,4.06,98.2
2000-04-03,0.0,27.52,11.31,3.01,98.21
2000-04-04,0.0,28.69,9.51,2.15,98.14
2000-04-05,0.0,28.11,7.2,2.23,98.11
2000-04-06,0.0,26.58,5.55,3.07,98.19
2000-04-07,0.0,28.0,6.93,2.44,98.4
2000-04-08,0.0,30.3,7.77,2.15,98.26
2000-04-09,0.0,29.18,12.59,3.83,98.11
2000-04-10,0.0,28.78,8.59,2.36,98.1
2000-04-11,0.0,30.7,5.65,1.78,98.11
2000-04-12,0.0,32.94,5.76,1.19,98.07
2000-04-13,0.0,33.5,6.76,1.45,97.84
2000-04-14,0.05,34.17,8.56,1.12,97.67
2000-04-15,4.36,30.85,22.87,1.46,97.99
2000-04-16,0.0,31.17,21.63,1.49,98.19
2000-04-17,0.0,33.17,13.85,1.8,97.97
2000-04-18,0.0,33.76,13.4,2.17,97.98
2000-04-19,0.0,34.54,14.02,2.42,98.0
2000-04-20,0.0,35.31,13.33,2.75,97.87
2000-04-21,0.0,34.07,14.48,2.68,97.83
2000-04-22,0.0,33.49,14.07,2.12,97.91
2000-04-23,0.0,33.77,14.01,1.64,97.87
2000-04-24,0.0,33.77,17.06,1.77,97.71
2000-04-25,0.0,35.64,13.04,2.2,97.43
2000-04-26,0.0,36.12,12.31,2.03,97.45
2000-04-27,0.0,34.25,13.11,1.79,97.56
2000-04-28,0.43,33.52,15.39,1.24,97.57
2000-04-29,0.0,33.73,10.14,1.07,97.69
2000-04-30,0.0,34.2,9.19,2.16,97.93
2000-05-01,0.0,34.13,7.77,3.64,97.82
2000-05-02,0.0,34.47,6.92,3.02,97.83
2000-05-03,0.0,35.37,8.08,1.58,97.99
2000-05-04,0.0,34.66,11.6,2.08,98.08
2000-05-05,0.01,34.72,21.98,3.08,98.15
2000-05-06,5.18,33.92,31.98,3.5,98.1
2000-05-07,0.51,30.81,41.9,1.83,98.32
2000-05-08,0.14,32.33,37.04,1.8,98.18
2000-05-09,0.0,34.65,29.08,1.69,98.04
2000-05-10,0.0,36.21,23.18,1.45,97.87
2000-05-11,0.22,36.93,23.61,1.51,97.72
2000-05-12,2.05,37.4,26.0,2.92,97.7
2000-05-13,5.28,35.68,37.7,3.26,97.84
2000-05-14,0.14,35.65,39.15,3.93,97.77
2000-05-15,0.0,37.58,27.71,4.75,97.61
2000-05-16,0.29,37.18,24.0,4.14,97.59
2000-05-17,0.0,37.57,24.64,4.74,97.44
2000-05-18,0.0,37.94,23.78,5.17,97.29
2000-05-19,0.0,38.88,21.75,4.2,97.23
2000-05-20,10.2,37.11,25.85,3.02,97.34
2000-05-21,0.13,35.54,33.27,2.35,97.44
2000-05-22,0.02,35.43,40.28,2.51,97.49
2000-05-23,0.01,36.61,32.85,2.72,97.5
2000-05-24,0.0,37.23,25.63,3.01,97.32
2000-05-25,0.0,37.67,21.42,4.48,97.15
2000-05-26,0.06,38.21,21.4,4.27,97.06
2000-05-27,0.0,38.61,20.9,4.98,97.24
2000-05-28,0.09,38.37,19.83,4.64,97.42
2000-05-29,0.0,38.64,17.54,4.96,97.53
2000-05-30,0.03,37.62,19.28,3.92,97.63
2000-05-31,0.81,37.45,23.74,2.45,97.59
2000-06-01,11.24,36.21,34.0,2.26,97.39
2000-06-02,0.0,36.79,34.07,1.53,97.37
2000-06-03,0.0,35.99,32.16,2.61,97.52
