date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,7.56,27.43,78.91,6.23,100.98
2010-01-02,2.12,27.71,75.74,6.59,101.11
2010-01-03,10.79,27.29,77.9,6.36,101.15
2010-01-04,15.15,27.16,77.35,5.63,101.0
2010-01-05,1.42,27.05,76.99,4.71,100.9
2010-01-06,4.34,27.07,82.16,3.96,100.85
2010-01-07,1.01,28.01,78.59,4.86,100.87
2010-01-08,0.96,27.68,80.54,4.75,101.03
2010-01-09,1.29,27.75,80.02,3.81,101.07
2010-01-10,0.85,27.31,79.78,2.17,101.17
2010-01-11,0.34,27.06,78.89,2.25,101.32
2010-01-12,0.18,26.78,82.27,3.02,101.32
2010-01-13,0.0,26.6,84.99,4.36,101.41
2010-01-14,0.02,27.01,83.02,5.51,101.42
2010-01-15,0.1,27.92,78.37,5.81,101.4
2010-01-16,2.97,28.14,79.78,7.43,101.44
2010-01-17,0.91,27.97,77.75,7.01,101.47
2010-01-18,2.58,27.46,81.09,6.43,101.43
2010-01-19,1.14,27.28,80.59,6.06,101.29
2010-01-20,0.17,26.71,82.4,5.33,101.32
2010-01-21,0.05,26.61,82.09,5.34,101.3
2010-01-22,0.01,26.53,80.51,5.08,101.27
2010-01-23,0.01,26.45,81.72,5.09,101.27
2010-01-24,0.01,26.58,80.0,3.56,101.2
2010-01-25,0.24,26.94,81.91,4.22,101.18
2010-01-26,4.74,27.79,80.6,5.39,101.19
2010-01-27,2.03,27.96,79.74,6.49,101.18
2010-01-28,3.3,27.73,81.78,7.12,101.22
2010-01-29,5.43,28.03,80.66,6.74,101.19
2010-01-30,5.36,27.81,82.53,6.07,101.22
2010-01-31,5.43,27.7,83.51,6.06,101.24
2010-02-01,1.54,27.61,82.29,6.2,101.21
2010-02-02,0.23,27.8,77.92,6.22,101.15
2010-02-03,0.14,27.53,79.44,5.89,101.14
2010-02-04,0.68,27.45,79.85,5.48,101.17
2010-02-05,6.5,27.67,81.34,6.48,101.22
2010-02-06,1.87,27.65,75.52,7.14,101.26
2010-02-07,3.16,27.43,77.0,6.62,101.24
2010-02-08,2.35,27.3,79.34,5.96,101.11
2010-02-09,2.23,27.45,78.93,5.11,101.08
2010-02-10,2.35,27.87,78.1,4.57,101.05
2010-02-11,2.62,27.99,80.17,5.64,101.18
2010-02-12,18.47,28.03,80.45,6.02,101.18
2010-02-13,1.52,28.03,75.48,5.5,101.06
2010-02-14,1.52,28.16,70.6,4.57,101.04
2010-02-15,1.63,28.29,76.65,5.31,101.03
2010-02-16,1.7,28.6,79.61,6.21,101.06
2010-02-17,0.12,28.29,75.93,5.48,101.15
2010-02-18,0.37,28.28,72.83,4.18,101.23
2010-02-19,0.29,28.19,77.46,4.74,101.31
2010-02-20,0.54,27.84,81.16,4.49,101.28
2010-02-21,1.05,27.8,82.07,4.63,101.3
2010-02-22,0.06,28.32,75.21,5.91,101.25
2010-02-23,0.0,27.73,70.05,4.29,101.16
2010-02-24,0.0,27.38,70.8,2.59,101.09
2010-02-25,0.0,27.29,71.33,2.65,101.12
2010-02-26,0.0,27.47,74.9,4.03,101.15
2010-02-27,0.0,28.09,72.8,4.87,101.12
2010-02-28,0.0,27.88,74.5,4.21,101.17
2010-03-01,0.0,27.42,73.46,4.41,101.26
2010-03-02,0.0,27.21,76.03,4.84,101.19
2010-03-03,0.0,26.72,76.17,3.06,101.12
2010-03-04,1.54,26.23,73.74,1.44,101.16
2010-03-05,1.93,26.67,69.74,1.54,101.21
2010-03-06,0.49,26.85,73.27,0.97,101.28
2010-03-07,0.04,27.43,74.97,2.35,101.24
2010-03-08,0.36,27.5,76.32,2.51,101.22
2010-03-09,0.05,27.69,72.79,3.05,101.33
2010-03-10,0.21,27.66,77.5,4.22,101.32
2010-03-11,0.97,28.34,76.96,5.45,101.37
2010-03-12,3.43,28.45,81.22,5.26,101.4
2010-03-13,0.36,28.32,83.48,5.12,101.25
2010-03-14,0.06,28.18,78.32,3.82,101.15
2010-03-15,0.0,28.08,75.0,3.49,101.12
2010-03-16,0.01,28.05,75.92,3.62,101.13
2010-03-17,0.08,28.42,75.32,4.79,101.19
2010-03-18,0.72,28.88,78.98,5.93,101.23
2010-03-19,0.82,28.98,79.16,5.33,101.1
2010-03-20,1.49,28.78,77.36,4.13,101.03
2010-03-21,0.11,28.29,80.49,3.27,100.94
2010-03-22,0.01,27.83,78.52,1.94,100.83
2010-03-23,0.04,27.9,76.25,2.33,100.77
2010-03-24,2.48,27.88,80.41,2.15,100.85
2010-03-25,2.74,28.15,82.13,2.74,100.91
2010-03-26,6.1,28.68,85.35,3.45,100.88
2010-03-27,4.89,28.24,83.31,3.3,101.04
2010-03-28,2.69,28.16,77.94,2.24,101.12
2010-03-29,1.21,28.55,77.39,2.01,101.11
2010-03-30,1.52,28.03,79.03,1.26,101.15
2010-03-31,2.77,28.27,80.03,2.24,101.13
2010-04-01,1.07,28.38,76.66,1.24,101.08
2010-04-02,0.11,28.87,75.41,1.85,101.03
2010-04-03,1.46,28.62,76.06,1.69,101.02
2010-04-04,4.94,28.7,76.58,1.75,101.07
2010-04-05,7.64,28.36,80.71,1.92,100.98
2010-04-06,1.79,28.46,79.56,1.49,100.96
2010-04-07,1.77,29.29,82.51,3.72,101.02
2010-04-08,0.96,29.87,81.23,4.16,101.09
2010-04-09,1.45,29.36,81.77,3.3,101.03
2010-04-10,1.38,29.0,81.48,2.3,100.86
2010-04-11,0.67,29.28,81.02,3.32,100.86
2010-04-12,0.69,29.78,75.1,2.44,100.89
2010-04-13,2.03,29.57,74.97,2.26,100.9
2010-04-14,1.87,29.49,76.15,1.98,100.93
2010-04-15,2.99,30.06,77.58,3.5,100.96
2010-04-16,1.6,29.74,77.83,2.94,101.02
2010-04-17,0.26,29.74,75.48,2.7,101.08
2010-04-18,0.16,29.55,76.21,2.03,101.06
2010-04-19,0.38,29.27,80.19,3.43,100.99
2010-04-20,0.26,29.31,79.41,2.35,100.86
2010-04-21,0.32,29.35,78.99,3.12,100.89
2010-04-22,0.48,29.55,79.75,2.63,100.93
2010-04-23,0.48,29.38,80.12,2.5,100.96
2010-04-24,0.49,29.54,76.8,1.19,100.93
2010-04-25,0.52,29.07,77.61,1.95,100.92
2010-04-26,4.12,28.94,77.9,1.38,101.12
2010-04-27,8.4,29.16,78.57,3.23,101.26
2010-04-28,4.59,29.73,75.66,3.56,101.11
2010-04-29,8.77,29.7,80.47,5.28,101.0
2010-04-30,13.17,29.24,84.09,5.2,100.99
2010-05-01,5.8,29.17,80.94,3.81,101.02
2010-05-02,3.84,29.23,73.82,1.26,100.9
2010-05-03,5.46,29.54,74.81,1.63,100.76
2010-05-04,11.49,29.73,80.07,3.44,100.67
2010-05-05,14.33,29.01,81.01,3.63,100.63
2010-05-06,9.2,29.29,84.88,3.68,100.61
2010-05-07,5.65,29.47,79.15,2.1,100.62
2010-05-08,7.05,29.43,81.19,2.32,100.64
2010-05-09,6.06,29.29,83.67,4.98,100.63
2010-05-10,1.6,30.13,77.34,2.94,100.61
2010-05-11,4.71,29.86,81.35,3.25,100.64
2010-05-12,5.05,29.59,78.82,1.81,100.69
2010-05-13,7.8,29.76,76.59,1.26,100.67
2010-05-14,5.61,29.66,78.89,2.94,100.71
2010-05-15,6.66,28.68,77.81,2.51,100.74
2010-05-16,7.71,28.41,82.11,3.07,100.62
2010-05-17,17.37,28.76,84.65,5.76,100.52
2010-05-18,15.66,29.79,80.77,9.55,100.54
2010-05-19,7.9,30.24,78.84,9.15,100.64
2010-05-20,9.27,30.05,80.85,8.92,100.7
2010-05-21,4.75,29.67,81.65,7.78,100.85
2010-05-22,4.13,29.39,82.32,7.28,100.85
2010-05-23,6.4,29.5,82.56,7.32,100.81
2010-05-24,5.69,29.63,82.64,7.09,100.79
2010-05-25,3.61,29.73,81.29,8.62,100.77
2010-05-26,2.27,29.63,81.87,8.4,100.77
2010-05-27,0.06,29.43,83.99,7.64,100.76
2010-05-28,0.06,29.45,85.0,6.89,100.83
2010-05-29,0.03,29.34,84.69,6.82,100.83
2010-05-30,0.02,29.33,81.86,6.51,100.87
2010-05-31,0.27,29.52,80.0,6.21,100.86
2010-06-01,0.31,29.64,77.98,5.08,100.86
2010-06-02,0.2,29.52,78.54,4.65,100.92
2010-06-03,0.67,29.69,78.39,6.07,101.01
2010-06-04,0.84,29.53,81.9,6.71,101.04
2010-06-05,14.36,29.35,83.84,8.03,100.9
2010-06-06,16.12,29.24,80.1,9.09,100.83
2010-06-07,15.71,29.32,79.0,8.24,100.76
2010-06-08,17.74,28.84,80.41,8.04,100.73
2010-06-09,18.97,28.83,80.93,8.74,100.65
2010-06-10,8.83,29.13,79.59,9.55,100.61
2010-06-11,5.43,28.77,82.21,9.63,100.62
2010-06-12,4.78,28.88,80.36,8.53,100.69
2010-06-13,6.56,28.72,83.1,6.42,100.81
2010-06-14,6.41,28.57,83.52,4.84,100.98
2010-06-15,3.34,28.2,84.66,4.03,100.99
2010-06-16,4.04,28.43,76.82,5.44,101.03
2010-06-17,9.78,27.93,82.91,6.49,101.06
2010-06-18,5.3,27.59,83.28,5.97,101.07
2010-06-19,2.73,27.96,80.99,5.52,100.99
2010-06-20,2.03,28.59,81.41,5.37,100.94
2010-06-21,2.48,28.7,82.32,6.17,100.9
2010-06-22,6.0,29.2,80.83,8.17,100.79
2010-06-23,6.12,29.2,79.5,9.49,100.76
2010-06-24,1.83,28.72,80.22,8.8,100.66
2010-06-25,1.51,28.58,81.17,6.59,100.56
2010-06-26,4.36,28.72,82.01,6.46,100.63
2010-06-27,11.19,28.79,83.24,6.69,100.73
2010-06-28,9.64,28.59,82.83,7.71,100.75
2010-06-29,14.44,28.46,82.59,8.16,100.75
2010-06-30,9.15,28.51,81.63,8.94,100.72
2010-07-01,6.41,28.65,80.46,9.39,100.68
2010-07-02,4.89,28.47,81.32,8.2,100.71
2010-07-03,2.91,28.39,83.06,6.63,100.73
2010-07-04,6.57,28.32,84.89,6.34,100.8
2010-07-05,7.88,27.71,87.34,5.27,100.81
2010-07-06,7.77,26.92,87.65,5.9,100.9
2010-07-07,5.29,27.5,85.27,4.86,100.94
2010-07-08,5.35,27.89,86.36,4.04,100.97
2010-07-09,1.39,27.92,85.22,4.55,100.92
2010-07-10,1.45,28.46,80.23,4.8,100.89
2010-07-11,1.26,28.23,84.24,5.96,100.99
2010-07-12,2.45,28.29,82.83,6.9,100.96
2010-07-13,2.4,28.32,81.85,7.26,100.91
2010-07-14,1.68,28.12,81.7,7.2,100.78
2010-07-15,9.71,28.18,82.49,6.55,100.62
2010-07-16,20.18,28.11,83.7,7.39,100.57
2010-07-17,9.46,28.29,82.73,7.85,100.65
2010-07-18,11.08,28.52,82.29,7.8,100.72
2010-07-19,19.51,28.09,83.02,7.95,100.74
2010-07-20,9.41,28.14,82.1,7.42,100.73
2010-07-21,2.34,28.56,81.04,6.06,100.75
2010-07-22,1.63,28.45,83.57,5.88,100.79
2010-07-23,2.69,28.42,85.19,6.71,100.79
2010-07-24,4.85,28.82,83.27,7.76,100.72
2010-07-25,5.26,28.92,81.56,7.95,100.68
2010-07-26,7.83,28.93,80.77,6.2,100.75
2010-07-27,8.68,28.59,81.17,5.42,100.81
2010-07-28,9.64,27.44,85.31,7.1,100.76
2010-07-29,10.13,27.77,82.83,6.2,100.72
2010-07-30,9.98,28.18,83.18,6.03,100.78
2010-07-31,7.98,28.6,80.21,5.61,100.85
2010-08-01,8.42,28.46,82.7,4.48,100.92
2010-08-02,19.0,27.86,85.7,5.99,100.92
2010-08-03,17.3,28.45,82.8,7.08,100.83
2010-08-04,6.23,28.62,82.35,7.28,100.79
2010-08-05,3.76,28.56,84.06,7.01,100.85
2010-08-06,3.06,28.55,83.86,7.68,100.93
2010-08-07,3.33,28.62,82.1,8.03,100.91
2010-08-08,3.46,28.63,82.73,7.21,100.77
2010-08-09,11.65,28.36,86.77,6.74,100.73
2010-08-10,12.0,28.49,85.59,7.04,100.65
2010-08-11,10.17,28.52,85.5,6.19,100.65
2010-08-12,6.56,28.71,82.98,6.2,100.65
2010-08-13,5.5,28.66,80.15,7.35,100.72
2010-08-14,11.65,28.44,81.84,7.31,100.72
2010-08-15,14.9,28.31,83.31,7.74,100.77
2010-08-16,23.03,27.93,81.88,8.35,100.86
2010-08-17,4.32,28.35,79.23,6.48,100.65
2010-08-18,11.58,28.47,83.16,5.57,100.56
2010-08-19,12.26,27.33,85.5,4.47,100.7
2010-08-20,9.43,26.82,85.81,4.77,100.74
2010-08-21,15.37,27.47,86.7,7.74,100.65
2010-08-22,2.28,28.36,80.5,7.65,100.61
2010-08-23,4.46,28.29,81.53,8.32,100.51
2010-08-24,5.88,28.33,84.88,8.1,100.41
