date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,0.05,27.88,77.19,2.93,101.03
2010-01-02,0.11,27.61,77.16,2.61,101.19
2010-01-03,0.41,27.52,73.04,0.96,101.24
2010-01-04,0.01,27.14,75.73,1.53,101.14
2010-01-05,0.0,27.23,73.53,2.36,100.99
2010-01-06,0.35,27.09,76.72,2.55,100.95
2010-01-07,0.62,27.13,76.33,2.42,101.02
2010-01-08,0.48,26.98,76.93,1.48,101.08
2010-01-09,0.02,27.36,73.47,0.97,101.03
2010-01-10,2.52,27.19,79.46,2.43,101.13
2010-01-11,3.1,27.27,80.13,2.99,101.22
2010-01-12,2.15,27.49,78.15,2.78,101.34
2010-01-13,0.22,27.44,71.01,1.49,101.37
2010-01-14,0.58,27.33,78.91,2.98,101.36
2010-01-15,0.48,27.86,78.14,4.42,101.4
2010-01-16,0.15,27.3,75.51,3.76,101.52
2010-01-17,0.0,27.23,74.76,2.55,101.55
2010-01-18,0.07,27.42,75.61,2.71,101.47
2010-01-19,0.0,27.25,75.44,2.84,101.32
2010-01-20,1.93,26.81,77.1,2.18,101.36
2010-01-21,0.93,26.65,77.3,1.89,101.28
2010-01-22,0.0,26.62,79.08,2.15,101.28
2010-01-23,0.0,27.0,76.93,2.67,101.26
2010-01-24,0.0,26.53,74.67,2.22,101.2
2010-01-25,0.0,26.83,69.16,2.03,101.21
2010-01-26,0.44,26.65,73.63,2.48,101.26
2010-01-27,0.0,27.14,74.15,2.6,101.25
2010-01-28,0.0,27.39,75.19,2.86,101.23
2010-01-29,0.05,27.48,75.59,2.58,101.27
2010-01-30,0.05,27.63,73.59,2.68,101.26
2010-01-31,1.0,27.63,73.53,2.13,101.31
2010-02-01,1.38,27.29,77.97,1.8,101.24
2010-02-02,0.67,27.56,75.68,1.36,101.14
2010-02-03,0.17,27.41,76.13,2.29,101.13
2010-02-04,0.0,27.92,69.82,2.51,101.2
2010-02-05,0.0,27.38,72.24,2.15,101.23
2010-02-06,0.0,27.3,73.27,3.1,101.23
