date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2015-01-01,0.02,15.08,44.51,1.19,99.29
2015-01-02,3.9,15.76,59.67,1.16,99.39
2015-01-03,10.12,14.41,76.62,0.96,99.38
2015-01-04,0.0,13.53,62.98,2.2,99.46
2015-01-05,0.0,13.07,44.1,3.89,99.18
2015-01-06,0.0,13.18,53.13,2.32,99.03
2015-01-07,0.0,12.44,55.87,1.84,99.08
2015-01-08,0.0,12.37,46.51,2.06,99.31
2015-01-09,0.0,11.7,39.9,1.62,99.44
2015-01-10,0.0,11.06,39.1,2.1,99.36
2015-01-11,0.0,12.12,36.93,2.0,99.36
2015-01-12,0.0,12.38,36.56,1.4,99.37
2015-01-13,0.0,12.19,39.03,1.74,99.21
2015-01-14,1.91,11.4,54.93,1.63,99.21
2015-01-15,0.0,11.22,67.56,1.52,99.47
2015-01-16,0.0,12.44,63.7,1.4,99.45
2015-01-17,0.0,13.65,55.9,1.98,99.46
2015-01-18,0.0,13.31,49.93,1.91,99.38
2015-01-19,0.0,13.0,43.43,1.53,99.41
2015-01-20,0.0,12.11,41.27,1.12,99.51
2015-01-21,3.16,13.27,42.38,1.51,99.67
2015-01-22,8.36,12.51,77.98,1.5,99.63
2015-01-23,2.56,13.19,76.24,1.13,99.52
2015-01-24,0.0,13.47,65.8,1.64,99.52
2015-01-25,0.0,12.68,45.88,1.58,99.58
2015-01-26,3.26,12.54,62.71,0.82,99.53
2015-01-27,0.0,12.2,61.75,1.95,99.45
2015-01-28,0.0,10.65,49.46,1.93,99.33
2015-01-29,0.0,10.4,42.55,2.14,99.43
2015-01-30,0.0,11.27,39.83,2.63,99.56
2015-01-31,0.0,13.16,36.8,2.32,99.32
2015-02-01,0.0,15.43,36.56,1.26,99.32
2015-02-02,0.0,15.79,42.78,1.96,99.32
2015-02-03,0.85,15.43,54.67,2.17,99.54
2015-02-04,0.27,14.15,62.64,2.21,99.73
2015-02-05,0.0,13.58,48.36,1.91,99.47
2015-02-06,0.0,14.97,39.5,1.15,99.4
2015-02-07,0.03,17.1,41.55,1.08,99.25
2015-02-08,0.0,17.33,44.16,1.52,99.3
2015-02-09,0.01,16.05,48.01,1.9,99.5
2015-02-10,0.0,15.44,41.84,1.99,99.55
2015-02-11,0.0,15.63,39.12,1.56,99.28
2015-02-12,0.0,15.05,38.18,1.69,99.16
2015-02-13,0.0,16.75,31.5,2.19,98.86
2015-02-14,0.0,19.76,36.06,1.25,98.61
2015-02-15,0.0,20.34,36.57,1.14,98.81
2015-02-16,0.0,19.54,38.14,1.74,99.02
2015-02-17,0.0,19.98,44.14,0.99,98.82
2015-02-18,0.0,20.9,40.01,0.91,98.79
2015-02-19,0.02,21.93,38.16,1.45,98.84
2015-02-20,1.76,21.72,41.7,1.29,98.97
2015-02-21,0.0,21.76,38.26,2.36,99.03
2015-02-22,0.0,21.92,43.13,2.93,98.9
2015-02-23,0.0,21.29,41.13,1.33,99.04
2015-02-24,0.0,21.94,37.87,1.17,98.77
2015-02-25,0.47,21.87,36.4,2.25,98.49
2015-02-26,1.62,16.34,28.45,1.66,98.57
2015-02-27,0.1,16.5,26.4,1.47,98.82
2015-02-28,0.09,18.08,31.21,1.39,98.93
2015-03-01,27.24,16.35,83.57,4.11,98.75
2015-03-02,26.81,16.85,83.9,2.57,98.85
2015-03-03,1.41,16.16,64.28,1.47,98.97
2015-03-04,0.0,15.82,48.97,1.97,98.95
2015-03-05,0.0,17.74,40.01,1.41,99.12
2015-03-06,0.01,18.46,48.8,1.67,99.19
2015-03-07,0.81,20.17,49.87,1.28,98.99
