date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,0.01,27.23,78.61,6.75,101.09
2010-01-02,0.03,27.19,79.8,7.72,101.23
2010-01-03,0.01,26.65,81.22,7.27,101.28
2010-01-04,0.0,26.6,76.94,6.03,101.17
2010-01-05,0.0,26.42,73.59,5.23,101.03
2010-01-06,0.0,26.36,77.58,6.52,101.02
2010-01-07,0.01,26.74,78.22,6.88,101.05
2010-01-08,0.68,26.18,85.06,6.43,101.06
2010-01-09,13.49,26.7,89.05,6.91,100.99
2010-01-10,26.79,26.84,83.35,4.97,101.13
2010-01-11,2.66,26.57,81.83,2.17,101.31
2010-01-12,0.33,26.43,83.11,2.32,101.35
2010-01-13,2.38,26.66,84.98,3.53,101.37
2010-01-14,2.25,27.0,84.81,6.23,101.39
2010-01-15,0.0,27.13,77.91,7.18,101.47
2010-01-16,0.09,27.16,78.9,7.46,101.52
2010-01-17,0.05,27.02,79.95,7.92,101.56
2010-01-18,0.01,27.15,78.04,6.72,101.5
2010-01-19,0.0,27.02,79.53,7.0,101.34
2010-01-20,0.0,26.84,78.56,7.28,101.38
2010-01-21,0.0,26.74,75.53,7.57,101.31
2010-01-22,0.0,26.43,72.67,7.45,101.32
2010-01-23,0.0,26.09,73.78,7.58,101.33
2010-01-24,0.01,26.23,74.09,6.41,101.26
2010-01-25,0.0,26.57,73.03,5.46,101.23
2010-01-26,0.0,26.69,78.6,6.52,101.27
2010-01-27,0.0,26.79,81.35,7.38,101.24
2010-01-28,0.0,26.99,80.86,7.81,101.25
2010-01-29,0.0,26.89,76.97,7.96,101.31
2010-01-30,0.0,26.87,77.59,7.68,101.3
2010-01-31,0.0,27.06,77.48,7.12,101.33
2010-02-01,0.0,27.04,76.68,6.92,101.29
2010-02-02,0.0,26.78,76.6,7.53,101.18
2010-02-03,0.0,26.55,76.42,7.63,101.19
2010-02-04,0.0,26.7,76.33,7.05,101.24
2010-02-05,0.0,26.59,77.01,7.61,101.3
2010-02-06,0.0,26.6,76.56,8.2,101.29
2010-02-07,0.0,26.7,74.35,8.17,101.3
2010-02-08,0.0,26.63,73.14,7.09,101.18
2010-02-09,0.0,26.37,75.96,5.99,101.12
2010-02-10,0.0,26.65,79.6,4.81,101.12
2010-02-11,0.14,26.8,81.7,5.71,101.25
2010-02-12,0.0,27.14,81.74,6.55,101.22
2010-02-13,0.0,27.09,82.79,5.85,101.12
2010-02-14,0.0,26.87,82.21,5.54,101.02
2010-02-15,0.0,27.04,79.48,5.81,101.03
2010-02-16,0.0,27.3,76.56,5.76,101.12
2010-02-17,0.04,27.59,84.09,6.01,101.16
2010-02-18,0.0,27.09,81.48,3.93,101.27
2010-02-19,0.0,27.27,79.15,3.43,101.29
2010-02-20,0.0,27.09,80.58,4.18,101.29
2010-02-21,0.0,27.31,82.64,5.19,101.26
2010-02-22,0.0,27.49,83.22,5.53,101.21
2010-02-23,0.0,27.1,80.02,3.34,101.17
2010-02-24,0.0,27.36,71.39,1.86,101.08
