date,PRECTOTCORR,T2M,RH2M,WS2M,PS
2010-01-01,1.21,27.44,76.57,6.09,101.03
2010-01-02,0.68,27.99,73.95,6.75,101.15
2010-01-03,15.84,27.34,77.34,6.43,101.19
2010-01-04,6.19,26.83,76.16,5.48,101.08
2010-01-05,0.81,26.82,74.23,4.59,100.96
2010-01-06,1.1,27.26,75.72,4.78,100.92
2010-01-07,8.51,27.71,85.35,7.29,100.79
2010-01-08,1.85,27.84,81.01,6.77,100.94
2010-01-09,2.05,27.61,80.55,4.14,101.06
2010-01-10,0.85,27.25,80.02,2.64,101.18
2010-01-11,0.65,26.98,79.0,1.78,101.33
2010-01-12,1.1,26.92,79.49,2.09,101.33
2010-01-13,0.68,26.84,84.12,3.97,101.4
2010-01-14,0.14,26.83,85.21,5.26,101.43
2010-01-15,0.39,27.48,78.25,5.69,101.44
2010-01-16,6.65,28.19,79.11,7.59,101.46
2010-01-17,2.67,28.04,76.32,7.34,101.5
2010-01-18,8.24,27.72,79.0,6.78,101.46
2010-01-19,1.26,27.25,80.38,6.36,101.32
2010-01-20,0.06,26.78,80.51,5.65,101.36
2010-01-21,0.03,26.72,77.49,5.69,101.33
2010-01-22,0.01,26.36,78.37,5.07,101.31
2010-01-23,0.02,26.7,73.3,4.66,101.3
2010-01-24,0.01,27.06,69.61,3.67,101.22
2010-01-25,0.06,26.63,79.43,3.85,101.21
2010-01-26,4.43,27.3,81.96,5.14,101.22
2010-01-27,3.12,27.74,80.97,6.75,101.2
2010-01-28,1.0,27.77,79.43,7.45,101.25
2010-01-29,5.79,27.65,80.47,7.2,101.24
2010-01-30,6.02,27.69,82.05,7.23,101.26
2010-01-31,8.46,27.85,81.08,6.49,101.27
2010-02-01,8.01,27.9,79.94,6.3,101.24
2010-02-02,1.3,27.65,78.36,6.23,101.17
2010-02-03,0.7,27.32,77.8,5.65,101.18
2010-02-04,0.4,27.22,76.41,4.97,101.21
2010-02-05,3.49,27.58,77.94,6.21,101.25
2010-02-06,5.82,27.48,75.13,7.27,101.29
2010-02-07,4.01,27.31,74.71,6.91,101.28
2010-02-08,0.73,27.0,77.13,5.95,101.16
2010-02-09,2.07,27.04,77.64,4.73,101.1
2010-02-10,5.08,27.64,78.95,4.51,101.08
2010-02-11,3.14,28.1,75.79,5.15,101.2
2010-02-12,11.42,27.97,76.69,5.89,101.21
2010-02-13,3.64,27.59,78.19,5.11,101.08
2010-02-14,0.92,27.61,72.18,4.49,101.06
2010-02-15,0.83,28.01,70.76,4.91,101.05
2010-02-16,7.04,28.2,80.76,5.88,101.07
2010-02-17,0.15,28.02,76.57,5.59,101.16
2010-02-18,0.71,27.78,74.86,3.64,101.25
2010-02-19,0.33,27.88,73.89,3.97,101.32
2010-02-20,0.96,27.57,79.16,3.96,101.29
2010-02-21,0.58,27.65,79.24,4.23,101.31
2010-02-22,0.53,27.92,78.97,5.53,101.25
2010-02-23,0.0,27.55,73.29,3.83,101.18
2010-02-24,0.0,27.1,74.62,2.21,101.1
2010-02-25,0.01,26.88,74.45,1.59,101.13
2010-02-26,0.0,27.36,76.16,3.21,101.16
2010-02-27,0.0,28.07,75.07,4.77,101.13
2010-02-28,0.0,27.93,75.13,3.81,101.19
2010-03-01,0.0,27.62,73.13,4.38,101.27
2010-03-02,0.0,27.25,73.28,4.19,101.22
2010-03-03,0.0,26.73,74.39,2.76,101.13
2010-03-04,5.32,26.08,76.14,1.45,101.18
2010-03-05,0.66,26.49,72.31,1.23,101.23
2010-03-06,0.15,27.58,74.64,2.13,101.25
2010-03-07,0.01,28.13,76.43,2.35,101.21
2010-03-08,0.3,28.15,74.69,2.82,101.21
2010-03-09,0.41,28.16,72.04,3.41,101.31
2010-03-10,0.2,28.08,76.31,4.61,101.31
2010-03-11,1.8,28.74,74.29,5.5,101.36
2010-03-12,1.5,28.8,75.46,5.21,101.41
2010-03-13,1.98,28.75,81.08,5.11,101.27
2010-03-14,0.25,28.11,81.67,3.71,101.16
2010-03-15,0.0,28.21,75.29,3.21,101.12
2010-03-16,0.01,28.16,77.47,3.52,101.14
2010-03-17,0.06,28.06,78.44,4.8,101.22
2010-03-18,0.99,28.78,76.83,5.59,101.27
2010-03-19,1.0,28.89,79.82,4.95,101.14
2010-03-20,1.23,28.32,82.44,3.89,101.06
2010-03-21,0.52,27.9,84.27,2.98,100.97
2010-03-22,0.01,27.58,81.08,1.59,100.85
2010-03-23,0.0,27.7,79.05,2.19,100.77
2010-03-24,0.06,28.22,70.86,1.65,100.86
2010-03-25,1.4,29.01,74.91,2.64,100.9
2010-03-26,4.75,28.71,79.83,2.72,100.91
2010-03-27,5.12,28.03,83.52,2.33,101.05
2010-03-28,2.69,28.36,75.68,2.55,101.12
2010-03-29,1.8,28.93,77.06,2.09,101.09
2010-03-30,0.9,28.94,76.71,2.42,101.13
2010-03-31,1.73,28.86,79.73,3.27,101.11
2010-04-01,1.78,29.05,79.05,2.59,101.03
2010-04-02,0.48,29.03,80.48,2.85,100.98
2010-04-03,2.75,28.63,80.67,2.38,101.0
2010-04-04,2.87,28.4,80.86,2.44,101.1
2010-04-05,4.96,28.49,77.32,1.23,101.0
2010-04-06,0.59,28.78,72.12,2.32,100.99
2010-04-07,4.22,29.02,79.89,3.1,101.04
2010-04-08,2.52,29.74,82.69,3.93,101.09
2010-04-09,2.64,29.09,83.47,2.67,101.04
2010-04-10,1.86,28.45,84.45,2.16,100.88
2010-04-11,2.97,29.38,82.67,3.69,100.82
2010-04-12,2.03,29.19,82.34,3.45,100.88
2010-04-13,2.39,28.99,81.07,2.29,100.88
2010-04-14,2.62,29.03,80.93,2.45,100.9
2010-04-15,4.08,29.29,77.24,1.83,100.96
2010-04-16,3.69,29.33,78.8,2.5,101.01
2010-04-17,2.19,29.67,76.48,2.64,101.06
2010-04-18,0.88,29.87,73.85,2.19,101.04
2010-04-19,1.48,29.58,81.14,4.51,100.97
2010-04-20,1.4,29.48,80.93,3.78,100.85
2010-04-21,1.6,29.74,80.45,5.04,100.85
2010-04-22,1.68,29.68,81.26,3.41,100.89
2010-04-23,2.11,29.87,81.98,4.43,100.92
2010-04-24,1.7,29.41,83.68,2.93,100.93
2010-04-25,2.08,29.47,78.21,3.48,100.91
2010-04-26,4.15,28.92,78.09,2.43,101.13
2010-04-27,5.61,29.38,77.71,3.28,101.23
2010-04-28,4.52,29.41,78.82,3.51,101.1
2010-04-29,3.8,29.51,80.3,3.84,100.99
2010-04-30,8.16,29.37,77.89,2.45,101.0
2010-05-01,2.29,29.48,70.54,1.25,101.01
2010-05-02,3.59,29.51,75.75,1.59,100.88
2010-05-03,5.79,29.38,80.89,2.97,100.75
2010-05-04,7.76,30.04,80.07,4.24,100.65
2010-05-05,10.11,29.7,83.1,4.49,100.61
2010-05-06,8.13,29.63,83.17,3.9,100.59
2010-05-07,5.55,29.75,80.95,3.34,100.6
2010-05-08,8.95,29.67,83.09,3.37,100.62
2010-05-09,6.59,29.58,80.61,4.33,100.65
2010-05-10,2.03,30.26,77.45,3.58,100.6
2010-05-11,2.3,30.26,80.57,4.17,100.62
2010-05-12,2.08,29.96,80.12,2.34,100.67
2010-05-13,4.76,29.75,81.38,2.04,100.65
2010-05-14,5.03,30.11,77.66,4.77,100.71
2010-05-15,5.24,29.76,76.08,2.89,100.69
2010-05-16,9.91,29.08,81.58,4.18,100.63
2010-05-17,10.51,29.35,78.44,5.49,100.6
2010-05-18,10.66,29.49,80.16,8.77,100.55
2010-05-19,8.15,29.89,79.76,9.67,100.57
2010-05-20,7.65,29.82,82.03,9.56,100.64
2010-05-21,4.05,29.67,80.34,7.72,100.77
2010-05-22,2.14,29.51,81.89,7.34,100.78
2010-05-23,3.66,29.52,83.21,7.65,100.78
2010-05-24,2.85,29.48,84.23,7.93,100.76
2010-05-25,1.99,29.65,82.39,8.16,100.75
2010-05-26,0.83,29.44,83.83,7.25,100.73
2010-05-27,0.15,29.36,85.46,6.63,100.73
2010-05-28,0.14,29.39,86.32,6.97,100.8
2010-05-29,0.09,29.35,85.18,6.74,100.8
2010-05-30,0.06,29.29,83.64,5.92,100.84
2010-05-31,0.14,29.47,80.46,4.9,100.85
2010-06-01,0.14,29.29,82.05,3.77,100.84
2010-06-02,0.13,29.31,82.31,3.92,100.9
2010-06-03,0.31,29.53,83.39,5.38,100.99
2010-06-04,0.6,29.75,83.19,6.72,101.01
2010-06-05,9.23,29.6,83.8,7.05,100.9
2010-06-06,11.51,29.33,79.3,8.05,100.83
2010-06-07,6.28,29.49,77.03,7.3,100.77
2010-06-08,5.85,28.7,79.72,7.87,100.74
2010-06-09,13.89,28.99,79.29,7.93,100.66
2010-06-10,5.62,28.74,81.46,8.01,100.57
2010-06-11,3.6,28.64,82.19,8.31,100.55
2010-06-12,5.59,28.68,80.68,7.96,100.62
2010-06-13,6.83,28.36,84.14,7.39,100.76
2010-06-14,3.53,28.55,82.69,4.73,100.94
2010-06-15,3.02,28.24,83.23,3.62,100.95
2010-06-16,3.89,28.2,81.52,5.22,101.01
2010-06-17,7.93,28.44,79.86,6.2,101.0
2010-06-18,7.14,28.21,81.67,6.28,101.01
2010-06-19,2.88,28.42,79.26,6.03,100.94
2010-06-20,1.1,28.78,80.18,6.23,100.91
2010-06-21,1.91,28.82,80.81,6.3,100.88
2010-06-22,4.11,29.03,79.84,7.84,100.8
2010-06-23,3.98,28.77,82.74,9.08,100.77
2010-06-24,0.42,28.67,79.38,7.59,100.67
2010-06-25,0.07,28.73,78.5,7.02,100.53
2010-06-26,0.18,28.9,80.05,6.48,100.61
2010-06-27,4.73,28.89,81.07,5.75,100.69
2010-06-28,5.45,28.73,84.39,6.79,100.7
2010-06-29,4.24,28.53,81.81,7.28,100.73
2010-06-30,3.82,28.34,81.75,7.44,100.71
2010-07-01,3.28,28.61,78.12,8.62,100.68
2010-07-02,1.74,28.23,80.61,7.24,100.68
2010-07-03,1.06,28.21,81.43,6.48,100.69
2010-07-04,3.28,28.34,83.18,6.06,100.76
2010-07-05,6.09,28.25,85.21,4.38,100.75
2010-07-06,5.14,28.01,79.59,3.92,100.87
2010-07-07,3.33,28.14,81.45,3.29,100.89
2010-07-08,3.92,28.23,83.7,4.09,100.94
2010-07-09,1.96,27.96,84.57,3.92,100.89
2010-07-10,1.06,28.27,81.55,4.51,100.87
2010-07-11,1.45,28.27,83.18,6.38,100.96
2010-07-12,1.38,28.37,81.6,7.14,100.94
2010-07-13,1.54,28.28,80.4,6.52,100.91
2010-07-14,0.74,28.34,78.73,6.48,100.78
2010-07-15,2.1,27.97,83.63,6.16,100.65
2010-07-16,11.97,28.17,85.36,6.68,100.56
2010-07-17,1.87,28.84,78.69,7.38,100.65
2010-07-18,4.49,29.05,76.69,7.54,100.71
2010-07-19,9.66,27.78,82.54,7.9,100.74
2010-07-20,8.16,28.6,77.51,7.34,100.72
2010-07-21,0.51,29.15,74.46,5.94,100.72
2010-07-22,2.21,28.93,79.32,5.13,100.75
2010-07-23,4.54,28.6,84.39,5.58,100.76
2010-07-24,3.53,29.3,81.25,5.89,100.68
2010-07-25,1.42,29.62,76.08,7.46,100.66
2010-07-26,0.48,29.62,74.75,6.73,100.72
2010-07-27,1.95,29.49,73.3,5.94,100.79
2010-07-28,8.24,27.44,84.11,6.81,100.78
2010-07-29,2.07,28.07,80.56,5.81,100.69
2010-07-30,2.31,28.43,79.92,5.22,100.76
2010-07-31,0.56,28.97,75.5,5.24,100.84
2010-08-01,2.43,29.06,76.28,4.21,100.9
2010-08-02,10.09,28.29,83.93,3.67,100.87
2010-08-03,9.39,28.87,81.18,5.05,100.78
2010-08-04,3.43,29.05,77.62,5.51,100.76
2010-08-05,0.67,29.11,79.33,5.83,100.82
2010-08-06,1.91,28.95,83.11,7.18,100.89
2010-08-07,1.74,28.95,82.89,7.97,100.87
2010-08-08,1.54,29.02,81.76,6.65,100.75
2010-08-09,4.45,28.98,83.72,5.86,100.72
2010-08-10,3.97,28.73,81.77,4.93,100.67
2010-08-11,5.13,28.1,84.68,4.47,100.64
2010-08-12,6.12,28.49,82.88,5.05,100.62
2010-08-13,2.94,28.8,80.96,7.07,100.65
2010-08-14,8.97,28.62,81.35,5.7,100.67
2010-08-15,6.39,28.64,81.45,6.69,100.74
2010-08-16,9.62,28.05,82.63,6.89,100.83
2010-08-17,2.52,28.66,77.61,6.22,100.62
2010-08-18,5.94,28.65,79.12,6.16,100.58
2010-08-19,5.65,27.39,85.09,4.19,100.72
2010-08-20,8.94,27.02,84.82,3.82,100.77
2010-08-21,16.28,27.62,83.68,7.34,100.69
2010-08-22,1.56,28.47,77.92,6.94,100.61
2010-08-23,1.74,28.59,79.16,6.79,100.5
2010-08-24,5.88,28.56,82.67,6.19,100.4
2010-08-25,4.84,28.42,80.83,7.25,100.52
2010-08-26,1.9,28.43,77.95,7.47,100.74
2010-08-27,2.0,28.66,78.35,6.0,100.78
2010-08-28,4.26,28.7,80.22,6.4,100.8
2010-08-29,8.95,28.62,83.15,7.73,100.82
2010-08-30,6.19,28.55,78.22,8.29,100.88
2010-08-31,0.89,28.71,74.3,5.85,100.86
2010-09-01,0.51,28.64,78.02,4.93,100.82
2010-09-02,1.84,28.52,79.96,4.55,100.89
2010-09-03,3.1,28.34,83.17,5.27,100.84
2010-09-04,1.7,28.56,82.63,7.07,100.83
2010-09-05,1.6,28.56,81.19,6.8,100.94
2010-09-06,2.28,28.34,82.57,6.29,100.91
2010-09-07,2.13,28.37,83.26,6.05,100.77
2010-09-08,2.49,28.47,81.61,5.52,100.81
2010-09-09,7.73,27.33,84.52,3.07,100.93
2010-09-10,12.86,27.27,85.36,4.13,100.91
2010-09-11,6.97,27.95,81.0,4.77,100.83
2010-09-12,8.64,28.09,82.51,3.56,100.81
2010-09-13,10.37,28.1,84.69,4.62,100.77
2010-09-14,5.31,28.07,80.54,6.36,100.79
2010-09-15,7.27,28.07,82.91,6.95,100.78
2010-09-16,4.85,28.18,83.48,6.29,100.72
2010-09-17,4.1,28.36,81.02,5.5,100.67
2010-09-18,7.35,28.64,79.45,5.62,100.61
2010-09-19,1.77,28.41,78.32,4.43,100.6
2010-09-20,7.06,27.43,81.66,2.69,100.7
2010-09-21,15.13,26.91,81.46,2.16,100.83
2010-09-22,4.9,27.32,81.85,2.47,100.84
2010-09-23,6.78,27.14,84.41,3.51,100.8
2010-09-24,15.33,27.15,87.32,5.24,100.83
